LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
75,7620000,0,0,70000,1310000,0,0.846666667,0,0,0.007777778,0.145555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022280674,0.019501207,0.007690418,0.361419517
76,8010000,0,0,0,990000,0,0.89,0,0,0,0.11,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022610945,0.019501207,0.007690418,0.4043653
77,8150000,0,0,0,850000,0,0.905555556,0,0,0,0.094444444,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022851181,0.019501207,0.007690418,0.435603656
78,3760000,2700000,630000,300000,1610000,0,0.417777778,0.3,0.07,0.033333333,0.178888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.016125853,0.019501207,0.007690418,-0.438903867
79,8350000,0,0,0,650000,0,0.927777778,0,0,0,0.072222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023194375,0.019501207,0.007690418,0.480229841
80,7430000,0,0,0,1570000,0,0.825555556,0,0,0,0.174444444,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02161568,0.019501207,0.007690418,0.27494905
81,8070000,0,0,0,930000,0,0.896666667,0,0,0,0.103333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022713903,0.019501207,0.007690418,0.41775313
82,7750000,0,0,40000,1210000,0,0.861111111,0,0,0.004444444,0.134444444,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022358482,0.019501207,0.007690418,0.371537043
83,7940000,0,0,0,1060000,0,0.882222222,0,0,0,0.117777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022490827,0.019501207,0.007690418,0.388746122
84,230000,4960000,3430000,0,380000,0,0.025555556,0.551111111,0.381111111,0,0.042222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.009792458,0.019501207,0.007690418,-1.262447577
85,7620000,0,0,0,1380000,0,0.846666667,0,0,0,0.153333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021941715,0.019501207,0.007690418,0.317344017
86,8290000,0,0,0,710000,0,0.921111111,0,0,0,0.078888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023091417,0.019501207,0.007690418,0.466842012
87,8230000,0,0,0,770000,0,0.914444444,0,0,0,0.085555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022988459,0.019501207,0.007690418,0.453454182
88,7490000,0,0,0,1510000,0,0.832222222,0,0,0,0.167777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021718639,0.019501207,0.007690418,0.28833701
89,7650000,0,0,170000,1180000,0,0.85,0,0,0.018888889,0.131111111,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02281638,0.019501207,0.007690418,0.431078414
90,7640000,0,0,510000,850000,0,0.848888889,0,0,0.056666667,0.094444444,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.024445591,0.019501207,0.007690418,0.642927899
