LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
9341,2.18004,0.016614,1.955770553,0.67912856,0.330231211,0.01859694,0.007131405,-0.278057429,HIGH,LOW,HIGHLOW,2,4
9342,2.26858,0.019331,1.955770553,0.67912856,0.46060417,0.01859694,0.007131405,0.102933406,HIGH,HIGH,HIGHHIGH,1,1
9343,1.99711,0.018082,1.955770553,0.67912856,0.060871312,0.01859694,0.007131405,-0.072207394,HIGH,LOW,HIGHLOW,2,4
9344,2.04416,0.020572,1.955770553,0.67912856,0.130151273,0.01859694,0.007131405,0.276952408,HIGH,HIGH,HIGHHIGH,1,1
9345,2.23237,0.021554,1.955770553,0.67912856,0.407285841,0.01859694,0.007131405,0.414653181,HIGH,HIGH,HIGHHIGH,1,1
9346,2.20861,0.020198,1.955770553,0.67912856,0.372299829,0.01859694,0.007131405,0.224508325,HIGH,HIGH,HIGHHIGH,1,1
9347,2.11165,0.018552,1.955770553,0.67912856,0.229528628,0.01859694,0.007131405,-0.006301728,HIGH,LOW,HIGHLOW,2,4
9348,1.98491,0.019607,1.955770553,0.67912856,0.042907114,0.01859694,0.007131405,0.141635456,HIGH,HIGH,HIGHHIGH,1,1
9349,0.634489,0.012581,1.955770553,0.67912856,-1.945554394,0.01859694,0.007131405,-0.843584127,LOW,LOW,LOWLOW,4,3
9350,1.97643,0.023774,1.955770553,0.67912856,0.030420524,0.01859694,0.007131405,0.725952281,HIGH,HIGH,HIGHHIGH,1,1
9351,2.05936,0.011778,1.955770553,0.67912856,0.152532897,0.01859694,0.007131405,-0.956184658,HIGH,LOW,HIGHLOW,2,4
9352,2.14763,0.017882,1.955770553,0.67912856,0.282508288,0.01859694,0.007131405,-0.100252358,HIGH,LOW,HIGHLOW,2,4
9353,2.00463,0.02157,1.955770553,0.67912856,0.071944326,0.01859694,0.007131405,0.416896778,HIGH,HIGH,HIGHHIGH,1,1
9354,1.99567,0.021343,1.955770553,0.67912856,0.058750948,0.01859694,0.007131405,0.385065744,HIGH,HIGH,HIGHHIGH,1,1
9355,0.420063,0.022041,1.955770553,0.67912856,-2.261291374,0.01859694,0.007131405,0.482942668,LOW,HIGH,LOWHIGH,3,2
9356,0.448464,0.021278,1.955770553,0.67912856,-2.219471604,0.01859694,0.007131405,0.37595113,LOW,HIGH,LOWHIGH,3,2
9357,1.91763,0.021005,1.955770553,0.67912856,-0.056161021,0.01859694,0.007131405,0.337669755,LOW,HIGH,LOWHIGH,3,2
9358,2.12381,0.023281,1.955770553,0.67912856,0.247433927,0.01859694,0.007131405,0.656821444,HIGH,HIGH,HIGHHIGH,1,1
9359,2.06326,0.022304,1.955770553,0.67912856,0.158275551,0.01859694,0.007131405,0.519821795,HIGH,HIGH,HIGHHIGH,1,1
9360,1.80917,0.016443,1.955770553,0.67912856,-0.215865687,0.01859694,0.007131405,-0.302035873,LOW,LOW,LOWLOW,4,3
9361,2.21334,0.020289,1.955770553,0.67912856,0.379264637,0.01859694,0.007131405,0.237268784,HIGH,HIGH,HIGHHIGH,1,1
9362,0.58536,0.02015,1.955770553,0.67912856,-2.017895631,0.01859694,0.007131405,0.217777534,LOW,HIGH,LOWHIGH,3,2
9363,1.96417,0.018033,1.955770553,0.67912856,0.012367977,0.01859694,0.007131405,-0.07907841,HIGH,LOW,HIGHLOW,2,4
9364,1.98936,0.023009,1.955770553,0.67912856,0.049459629,0.01859694,0.007131405,0.618680293,HIGH,HIGH,HIGHHIGH,1,1
9365,2.09348,0.021382,1.955770553,0.67912856,0.202773753,0.01859694,0.007131405,0.390534512,HIGH,HIGH,HIGHHIGH,1,1
9366,2.14186,0.020441,1.955770553,0.67912856,0.274012106,0.01859694,0.007131405,0.258582956,HIGH,HIGH,HIGHHIGH,1,1
9367,2.07158,0.022025,1.955770553,0.67912856,0.170526545,0.01859694,0.007131405,0.480699071,HIGH,HIGH,HIGHHIGH,1,1
9368,2.01681,0.022187,1.955770553,0.67912856,0.089879075,0.01859694,0.007131405,0.503415491,HIGH,HIGH,HIGHHIGH,1,1
9369,1.72103,0.009408,1.955770553,0.67912856,-0.345649656,0.01859694,0.007131405,-1.288517481,LOW,LOW,LOWLOW,4,3
9370,1.9865,0.022512,1.955770553,0.67912856,0.04524835,0.01859694,0.007131405,0.548988558,HIGH,HIGH,HIGHHIGH,1,1
9371,2.21641,0.022317,1.955770553,0.67912856,0.383785136,0.01859694,0.007131405,0.521644718,HIGH,HIGH,HIGHHIGH,1,1
9372,2.17914,0.0217,1.955770553,0.67912856,0.328905983,0.01859694,0.007131405,0.435126004,HIGH,HIGH,HIGHHIGH,1,1
9373,1.97227,0.022911,1.955770553,0.67912856,0.024295027,0.01859694,0.007131405,0.604938261,HIGH,HIGH,HIGHHIGH,1,1
9374,2.13529,0.012872,1.955770553,0.67912856,0.264337943,0.01859694,0.007131405,-0.802778705,HIGH,LOW,HIGHLOW,2,4
9375,1.86061,0.017043,1.955770553,0.67912856,-0.14012156,0.01859694,0.007131405,-0.217900982,LOW,LOW,LOWLOW,4,3
9376,1.81858,0.022241,1.955770553,0.67912856,-0.202009695,0.01859694,0.007131405,0.510987632,LOW,HIGH,LOWHIGH,3,2
9377,2.18826,0.020166,1.955770553,0.67912856,0.342334958,0.01859694,0.007131405,0.220021131,HIGH,HIGH,HIGHHIGH,1,1
9378,1.92382,0.019737,1.955770553,0.67912856,-0.047046399,0.01859694,0.007131405,0.159864683,LOW,HIGH,LOWHIGH,3,2
9379,1.89026,0.022609,1.955770553,0.67912856,-0.096462669,0.01859694,0.007131405,0.562590365,LOW,HIGH,LOWHIGH,3,2
9380,1.99301,0.021357,1.955770553,0.67912856,0.054834164,0.01859694,0.007131405,0.387028891,HIGH,HIGH,HIGHHIGH,1,1
9381,0.479361,0.019299,1.955770553,0.67912856,-2.173976536,0.01859694,0.007131405,0.098446212,LOW,HIGH,LOWHIGH,3,2
