LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,S,Z-score,typemesli,typeLER,type,NUMBER,QUADRANT
3489,1.87768,0.021163,1.950166924,0.682104078,-0.106269595,0.01832996,0.00692192,-1.312290166,LOW,HIGH,LOWHIGH,3,2
3490,1.98916,0.021501,1.950166924,0.682104078,0.057165875,0.01832996,0.00692192,0.499516783,HIGH,HIGH,HIGHHIGH,1,1
3491,0.472241,0.020014,1.950166924,0.682104078,-2.166716152,0.01832996,0.00692192,0.021582452,LOW,HIGH,LOWHIGH,3,2
3492,1.94499,0.015321,1.950166924,0.682104078,-0.007589639,0.01832996,0.00692192,0.3833753,LOW,LOW,LOWLOW,4,3
3493,0.409301,0.009266,1.950166924,0.682104078,-2.25898946,0.01832996,0.00692192,0.399635096,LOW,LOW,LOWLOW,4,3
3494,2.09111,0.021807,1.950166924,0.682104078,0.206629869,0.01832996,0.00692192,0.490225429,HIGH,HIGH,HIGHHIGH,1,1
3495,2.01593,0.018499,1.950166924,0.682104078,0.096412085,0.01832996,0.00692192,0.190580515,HIGH,HIGH,HIGHHIGH,1,1
3496,2.17094,0.021003,1.950166924,0.682104078,0.323664794,0.01832996,0.00692192,0.313217594,HIGH,HIGH,HIGHHIGH,1,1
3497,2.00269,0.021115,1.950166924,0.682104078,0.077001557,0.01832996,0.00692192,0.460569061,HIGH,HIGH,HIGHHIGH,1,1
3498,2.01396,0.021743,1.950166924,0.682104078,0.093523962,0.01832996,0.00692192,1.339437838,HIGH,HIGH,HIGHHIGH,1,1
3499,2.12811,0.019668,1.950166924,0.682104078,0.26087379,0.01832996,0.00692192,0.213808754,HIGH,HIGH,HIGHHIGH,1,1
3500,2.08183,0.020517,1.950166924,0.682104078,0.193024907,0.01832996,0.00692192,1.991727704,HIGH,HIGH,HIGHHIGH,1,1
3501,2.01078,0.021537,1.950166924,0.682104078,0.088861917,0.01832996,0.00692192,0.548296171,HIGH,HIGH,HIGHHIGH,1,1
3502,2.12912,0.027621,1.950166924,0.682104078,0.262354503,0.01832996,0.00692192,0.31141896,HIGH,HIGH,HIGHHIGH,1,1
3503,1.97207,0.019829,1.950166924,0.682104078,0.032111047,0.01832996,0.00692192,0.436800365,HIGH,HIGH,HIGHHIGH,1,1
3504,1.85583,0.032136,1.950166924,0.682104078,-0.138302829,0.01832996,0.00692192,-0.541110736,LOW,HIGH,LOWHIGH,3,2
3505,2.47239,0.022145,1.950166924,0.682104078,0.765606148,0.01832996,0.00692192,-1.765495663,HIGH,HIGH,HIGHHIGH,1,1
3506,2.34671,0.020505,1.950166924,0.682104078,0.581352742,0.01832996,0.00692192,-1.702008649,HIGH,HIGH,HIGHHIGH,1,1
3507,2.4322,0.021373,1.950166924,0.682104078,0.706685521,0.01832996,0.00692192,-0.988724142,HIGH,HIGH,HIGHHIGH,1,1
3508,0.742588,0.014604,1.950166924,0.682104078,-1.770373411,0.01832996,0.00692192,0.402094096,LOW,LOW,LOWLOW,4,3
3509,2.24984,0.006129,1.950166924,0.682104078,0.439336291,0.01832996,0.00692192,0.541296089,HIGH,LOW,HIGHLOW,2,4
3510,2.32887,0.006568,1.950166924,0.682104078,0.555198375,0.01832996,0.00692192,0.490193935,HIGH,LOW,HIGHLOW,2,4
3511,1.8125,0.011505,1.950166924,0.682104078,-0.201826859,0.01832996,0.00692192,0.574726411,LOW,LOW,LOWLOW,4,3
3512,2.41084,0.021132,1.950166924,0.682104078,0.675370652,0.01832996,0.00692192,0.594752792,HIGH,HIGH,HIGHHIGH,1,1
3513,2.44782,0.022096,1.950166924,0.682104078,0.729585252,0.01832996,0.00692192,0.536682051,HIGH,HIGH,HIGHHIGH,1,1
3514,2.28199,0.021742,1.950166924,0.682104078,0.486469861,0.01832996,0.00692192,0.33333239,HIGH,HIGH,HIGHHIGH,1,1
3515,2.4324,0.022327,1.950166924,0.682104078,0.706978732,0.01832996,0.00692192,0.308539412,HIGH,HIGH,HIGHHIGH,1,1
3516,2.34536,0.022466,1.950166924,0.682104078,0.579373572,0.01832996,0.00692192,0.450737395,HIGH,HIGH,HIGHHIGH,1,1
